id,kind,source_locator,approved_text,operational_reading,unresolved_issue
TITLE-FA,TITLE,"پروپوزال 2.docx title table; extraction Table 3 line 77","سامانۀ پویای تملک تصویر با بهره‌گیری از نشانه‌گذاری عصبی مقاوم","The approved Persian title names dynamic image ownership through robust neural watermarking and is preserved without reinterpretation.","UNRESOLVED: The proposal does not define an executable ownership-transfer protocol despite the dynamic-ownership title."
TITLE-EN,TITLE,"پروپوزال 2.docx title table; extraction Table 3 line 80","Dynamic Image Ownership With Robust Neural Watermarking","The approved English title names dynamic image ownership through robust neural watermarking and is preserved without reinterpretation.","UNRESOLVED: The proposal does not define an executable ownership-transfer protocol despite the dynamic-ownership title."
SCOPE-01,PROBLEM,"پروپوزال 2.docx §4-1; extraction Table 5 lines 119-121","تعیین مالکیت و جلوگیری از سرقت تصاویر","The work addresses image-ownership evidence through an image-watermarking system.","UNRESOLVED: Legal ownership adjudication and the evidentiary meaning of a detector result are not defined."
SCOPE-02,SCOPE,"پروپوزال 2.docx §4-1; extraction Table 5 line 120","توان تعمیم مناسبی روی هر دو نوع تصویر به‌طور همزمان ندارند","The proposal identifies simultaneous support for camera-originated and model-generated images as a gap.","UNRESOLVED: The implementation route for pre-existing camera images is not specified, while the proposed embedding route relies on a diffusion model."
SCOPE-03,SCOPE,"پروپوزال 2.docx §4-1; extraction Table 5 line 120","امکان تغییر امن مالک تصویر، انتقال مالکیت یا ثبت تاریخچه‌ای از مالکان","Ownership transfer and owner history are narrative requirements in the problem statement.","UNRESOLVED: No transfer operation, authorization rule, revocation rule, history store, or verification protocol is specified in §4-4."
PROB-01,PROBLEM,"پروپوزال 2.docx §4-1; extraction Table 5 line 123","حملات جعل انتقال (Copy-Paste)","The detector must distinguish a valid content-bound watermark from a watermark copied onto different content.","UNRESOLVED: The exact attack construction, attacker access, query budget, quality constraint, and success rule are unspecified."
PROB-02,PROBLEM,"پروپوزال 2.docx §4-1; extraction Table 5 line 124","حملات بازتولید (Regeneration)","Watermark survival must be evaluated after a generative regeneration or editing process.","UNRESOLVED: The regeneration model, edit strength, prompts, seeds, and survival criterion are unspecified."
PROB-03,PROBLEM,"پروپوزال 2.docx §4-1; extraction Table 5 line 125","تداخل معنایی","The method must reduce false ownership matches between different images with similar semantic content.","UNRESOLVED: Similarity groups, negative-pair construction, collision definition, and acceptable false-match rate are unspecified."
GOAL-01,OBJECTIVE,"پروپوزال 2.docx §4-2; extraction Table 6 line 139","طراحی، پیاده‌سازی و ارزیابی یک چارچوب نوین واترمارکینگ عصبی","The thesis must design, implement, and evaluate the proposed neural-watermarking framework; this is a planned objective, not an achieved result.","UNRESOLVED: 'با دقت بالا' has no operational threshold in this section."
OBJ-01,OBJECTIVE,"پروپوزال 2.docx §4-2; extraction Table 6 line 141","توسعه مکانیزم تولید امضای ترکیبی","Implement and evaluate a semantic-plus-perceptual signature intended to be unique and tolerant to permitted minor edits.","UNRESOLVED: Permitted edits, uniqueness unit, stability tolerance, and collision threshold are unspecified."
OBJ-02,OBJECTIVE,"پروپوزال 2.docx §4-2; extraction Table 6 line 142","لایه جاسازی واترمارک در فضای پنهان مدل‌های انتشار","Implement latent-space watermark embedding and test survival through denoising or regeneration.","UNRESOLVED: Model, checkpoint, sampler, latent tensor, injection point, payload mapping, and strength are unspecified."
OBJ-03,OBJECTIVE,"پروپوزال 2.docx §4-2; extraction Table 6 line 143","روش استخراج سبک‌وزن ... با استفاده از تحلیل ضرایب ... DCT","Implement a DCT-based detector and compare its computational cost and detection performance with heavy alternatives.","UNRESOLVED: Channel, block policy, coefficient band, statistic, threshold, hardware, timing protocol, and comparator version are unspecified."
OBJ-04,OBJECTIVE,"پروپوزال 2.docx §4-2; extraction Table 6 line 144","اعتبارسنجی اتصال واترمارک به محتوا","Evaluate whether content binding rejects a copied watermark on different content.","UNRESOLVED: The binding score and the pass/fail rule are unspecified."
RQ-01,RESEARCH_QUESTION,"پروپوزال 2.docx §4-2; extraction Table 6 line 146","چگونه می‌توان با تلفیق بردارهای معنایی و کدهای هش ادراکی، امضایی برای تصویر تولید کرد که همزمان با حفظ یکتایی، در برابر ویرایش‌های مجاز پایدار باقی بماند؟","Test a combined semantic and perceptual signature for instance distinction and stability under explicitly permitted edits.","UNRESOLVED: 'ویرایش‌های مجاز', uniqueness, stability, and the evaluation unit require operational definitions."
RQ-02,RESEARCH_QUESTION,"پروپوزال 2.docx §4-2; extraction Table 6 line 147","آیا انتقال محل جاسازی واترمارک از فضای پیکسل به فضای پنهان در مدل‌های انتشار، تأثیر معناداری بر افزایش نرخ بقای واترمارک در برابر حملات بازتولید خواهد داشت؟","Compare latent-space embedding with a pixel-space comparator on watermark survival under regeneration.","UNRESOLVED: Comparator, regeneration protocol, survival metric, statistical test, effect size, and sample unit are unspecified."
RQ-03,RESEARCH_QUESTION,"پروپوزال 2.docx §4-2; extraction Table 6 line 148","چگونه می‌توان با تحلیل آماری ضرایب فرکانسی میانی، وجود و صحت واترمارک را با دقتی قابل رقابت با دیکودرهای عصبی اما با سرعت بیشتر تشخیص داد؟","Compare mid-band DCT detection with neural decoders on detection quality and inference time.","UNRESOLVED: DCT statistic, threshold, neural comparator, competitive margin, timing environment, and endpoint priority are unspecified."
