"requirement_id","source_locator","input_route","protected_unit","claim_type","component","dataset","baseline","metric","experiment_id","control_ids","evidence_path","implementation_status","evidence_status"
"TITLE-FA","پروپوزال 2.docx title table; extraction Table 3 line 77","real","scope statement applying to this input route","documentary","scope and source contract","MS-COCO;DIV2K","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/real/review.md","PLANNED","PLANNED"
"TITLE-FA","پروپوزال 2.docx title table; extraction Table 3 line 77","generated","scope statement applying to this input route","documentary","scope and source contract","DiffusionDB","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/generated/review.md","PLANNED","PLANNED"
"TITLE-EN","پروپوزال 2.docx title table; extraction Table 3 line 80","real","scope statement applying to this input route","documentary","scope and source contract","MS-COCO;DIV2K","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/real/review.md","PLANNED","PLANNED"
"TITLE-EN","پروپوزال 2.docx title table; extraction Table 3 line 80","generated","scope statement applying to this input route","documentary","scope and source contract","DiffusionDB","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/generated/review.md","PLANNED","PLANNED"
"SCOPE-01","پروپوزال 2.docx §4-1; extraction Table 5 lines 119-121","real","scope statement applying to this input route","documentary","scope and source contract","MS-COCO;DIV2K","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/real/review.md","PLANNED","PLANNED"
"SCOPE-01","پروپوزال 2.docx §4-1; extraction Table 5 lines 119-121","generated","scope statement applying to this input route","documentary","scope and source contract","DiffusionDB","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/generated/review.md","PLANNED","PLANNED"
"SCOPE-02","پروپوزال 2.docx §4-1; extraction Table 5 line 120","real","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","MS-COCO;DIV2K","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/real/results.json","PLANNED","PLANNED"
"SCOPE-02","پروپوزال 2.docx §4-1; extraction Table 5 line 120","generated","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","DiffusionDB","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/generated/results.json","PLANNED","PLANNED"
"SCOPE-03","پروپوزال 2.docx §4-1; extraction Table 5 line 120","real","scope statement applying to this input route","documentary","scope and source contract","MS-COCO;DIV2K","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/real/review.md","PLANNED","PLANNED"
"SCOPE-03","پروپوزال 2.docx §4-1; extraction Table 5 line 120","generated","scope statement applying to this input route","documentary","scope and source contract","DiffusionDB","N/A_DOCUMENTARY","source fidelity and unresolved-scope inventory","DOC-SCOPE","N/A_DOCUMENTARY","research/planned/DOC-SCOPE/generated/review.md","PLANNED","PLANNED"
