domain,release_id,source_split,source_id,relative_path,raw_sha256,raw_size_bytes,width,height,group_id,source_url,license_reference,rights_status,use_limitations
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,000df88b-87aa-421d-8b9b-749d047f6f52,diffusiondb-2m/selected-20260926/part-000268/000df88b-87aa-421d-8b9b-749d047f6f52.png,0e0e46e0a571e1995ee24022b90f7bc153c8d0556a1f181da75d2fd4bb5d2806,433060,512,512,raw-0e0e46e0a571e1995ee24022b90f7bc153c8d0556a1f181da75d2fd4bb5d2806,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,0030fd1c-a0f0-4733-b71f-31d6428e4c01,diffusiondb-2m/selected-20260926/part-000268/0030fd1c-a0f0-4733-b71f-31d6428e4c01.png,7428415cf33440e11c2862a3ef0c1aa24e504e6b22d18dbe89de941404f98a58,896050,1024,512,raw-7428415cf33440e11c2862a3ef0c1aa24e504e6b22d18dbe89de941404f98a58,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,014a135c-1a97-4143-acc2-c10261dcec25,diffusiondb-2m/selected-20260926/part-000268/014a135c-1a97-4143-acc2-c10261dcec25.png,6867ecf6968be50cb11108241ccf9f2c24d384754d05390ff7f06dc2ecdd3b63,519884,512,640,raw-6867ecf6968be50cb11108241ccf9f2c24d384754d05390ff7f06dc2ecdd3b63,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,01567260-9078-41d5-8a83-92730babbcfe,diffusiondb-2m/selected-20260926/part-000268/01567260-9078-41d5-8a83-92730babbcfe.png,f0e4280069c35508ae8f944e7df66f9dda743a2014f6ea134c2671498b7ee280,868786,512,768,raw-f0e4280069c35508ae8f944e7df66f9dda743a2014f6ea134c2671498b7ee280,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,02a854f2-67b1-4917-a12d-68f4c6d3ffdb,diffusiondb-2m/selected-20260926/part-000268/02a854f2-67b1-4917-a12d-68f4c6d3ffdb.png,39d46eaa75ba30de5c89a2cd2aeb883a4046f1dad1be2f9d74e8039416f35229,405244,512,512,raw-39d46eaa75ba30de5c89a2cd2aeb883a4046f1dad1be2f9d74e8039416f35229,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,031f0593-6d8c-4886-9f97-a32cd04d6dd9,diffusiondb-2m/selected-20260926/part-000268/031f0593-6d8c-4886-9f97-a32cd04d6dd9.png,66eae20c25ceeac2c6b78c09227480d27dc384751d2401cb95fb85a6410c3b71,679588,1024,512,raw-66eae20c25ceeac2c6b78c09227480d27dc384751d2401cb95fb85a6410c3b71,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05246e42-c806-45c3-9b16-f5e51d03ed02,diffusiondb-2m/selected-20260926/part-000268/05246e42-c806-45c3-9b16-f5e51d03ed02.png,e215a2af6441ded638d58c1746a4575b89bb35bd59872a89fcd07b7f374b7cfc,1298363,1024,768,raw-e215a2af6441ded638d58c1746a4575b89bb35bd59872a89fcd07b7f374b7cfc,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05a1191c-3fa5-4ccb-b65a-e5bd8e650ecc,diffusiondb-2m/selected-20260926/part-000268/05a1191c-3fa5-4ccb-b65a-e5bd8e650ecc.png,d15e30cdd81d49c77e37201f64992784781b4a9ee14f9e5d7bfb0b380462dba8,780088,512,768,raw-d15e30cdd81d49c77e37201f64992784781b4a9ee14f9e5d7bfb0b380462dba8,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,05b95801-d2f5-4fc0-8990-45e7065e878a,diffusiondb-2m/selected-20260926/part-000268/05b95801-d2f5-4fc0-8990-45e7065e878a.png,befeb1fb2e159ff455f2c94572f473284b879f9269c2cb2b02b35ba75527e6b4,395345,512,512,raw-befeb1fb2e159ff455f2c94572f473284b879f9269c2cb2b02b35ba75527e6b4,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,06fb21a5-2a1c-4b0f-9493-32c855e067d2,diffusiondb-2m/selected-20260926/part-000268/06fb21a5-2a1c-4b0f-9493-32c855e067d2.png,0ac32f4f3824cba49b9cd0378527ea6e8ee71f21b964c8932993cd3e34e06530,559517,704,512,raw-0ac32f4f3824cba49b9cd0378527ea6e8ee71f21b964c8932993cd3e34e06530,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
diffusiondb,diffusiondb-2m-fb620fbe49fa4420e0734bd9c0df11f51176b61f,part-000268,08613cd2-a546-416d-bf13-9cb1c5e72f7f,diffusiondb-2m/selected-20260926/part-000268/08613cd2-a546-416d-bf13-9cb1c5e72f7f.png,7a2dc3a096192aaf8eef14a80ddf175f682ec43c61ee32ed01d9ab35b8a9ca31,506259,512,640,raw-7a2dc3a096192aaf8eef14a80ddf175f682ec43c61ee32ed01d9ab35b8a9ca31,https://huggingface.co/datasets/poloclub/diffusiondb/resolve/fb620fbe49fa4420e0734bd9c0df11f51176b61f/images/part-000268.zip,https://huggingface.co/datasets/poloclub/diffusiondb/blob/fb620fbe49fa4420e0734bd9c0df11f51176b61f/README.md,pending-image-rights,Local restricted academic research only; no redistribution/public figures; no legal or visual-content certification; curator CC0/terms claim not independent rights clearance; image/prompt NSFW scores strictly below0.10; metadata-screened not visually reviewed; no prompts/users; canonical/near/user dependence pending
