paper_id,citation_key,title,year,doi,canonical_url,verification,inspected_content,limitations
seal-v4,Arabi2025SEALv4,SEAL: Semantic Aware Image Watermarking,2025,10.48550/arXiv.2503.12172,https://arxiv.org/abs/2503.12172v4,verified,full-text,"Targeted section 3.2 inspection, not whole-paper or code verification.; 2025 is first-submission year; inspected v4 is dated 2026-05-18.; Local checksum covers excerpt/observer record, not a full-text snapshot.; Verified denotes source inspection, not reproduced scientific validity."
wu2024,Wu2024DWTSVD,Image Robust Watermarking Method Based on DWT-SVD Transform and Chaotic Map,2024,10.1155/2024/6618382,https://onlinelibrary.wiley.com/doi/abs/10.1155/2024/6618382,verified,abstract,"Local checksum identifies observer notes, not remote full text.; No code inspection or experimental reproduction.; Abstract-only method description; full methods and robustness unverified."
kumari2024,Kumari2024DWTSVD,Deep learning-based image watermarking technique with hybrid DWT-SVD,2024,10.1080/13682199.2023.2223080,https://api.crossref.org/works/10.1080/13682199.2023.2223080,unverified,metadata,"Local checksum identifies observer notes, not remote full text.; No code inspection or experimental reproduction.; Metadata only; no scientific claim admitted. Online 2023, print 2024."
mareen2024,Mareen2024Geometric,Blind deep-learning-based image watermarking robust against geometric transformations,2024,10.1109/ICCE59016.2024.10444317,https://biblio.ugent.be/publication/01HRESBXED003D2NHEAW9DN2FQ,verified,abstract,"Local checksum identifies observer notes, not remote full text.; No code inspection or experimental reproduction.; Abstract-only method description; full methods and robustness unverified."
dasgupta2023,Dasgupta2023CrossAttention,Robust Image Watermarking based on Cross-Attention and Invariant Domain Learning,2023,10.48550/arXiv.2310.05395,https://arxiv.org/abs/2310.05395v1,verified,abstract,"Local checksum identifies observer notes, not remote full text.; No code inspection or experimental reproduction.; Abstract-only method description; full methods and robustness unverified.; Preprint inspected, not conference full text; no version equivalence asserted."
invismark-v2,Xu2024InvisMarkv2,InvisMark: Invisible and Robust Watermarking for AI-generated Image Provenance,2024,10.48550/arXiv.2411.07795,https://arxiv.org/abs/2411.07795v2,verified,full-text,Targeted sections 2.1-2.4.1 and 3 evaluation setup/3.3-3.5; not complete paper inspection.; Same v2 previously read at abstract depth; no version merge.; Notes checksum is not remote content authentication; no experiment reproduced.
muller-forgery-v1,Muller2024Forgeryv1,Black-Box Forgery Attacks on Semantic Watermarks for Diffusion Models,2024,10.48550/arXiv.2412.03283,https://arxiv.org/abs/2412.03283v1,verified,full-text,Targeted sections 3.1-3.2 and 4.1/Table 1 only.; v1 not latest v3 or conference version.; Observer-record hash only; no experimental reproduction.
zhao-regeneration-v3,Zhao2023Regenerationv3,Invisible Image Watermarks Are Provably Removable Using Generative AI,2023,10.48550/arXiv.2306.01953,https://arxiv.org/abs/2306.01953v3,verified,full-text,"Targeted sections only; proofs/code unverified and no experiment reproduced.; 2023 is first submission; inspected v3 is 2024-10-31.; Checksum identifies observer record, not remote paper."
lee-geometric-v1,Lee2026Geometricv1,Rethinking Forgery Attacks on Semantic Watermarks in Black-Box Settings: A Geometric Distortion Perspective,2026,10.48550/arXiv.2606.29807,https://arxiv.org/abs/2606.29807v1,verified,full-text,Targeted sections only; proofs/code/results not independently reproduced.; Reference-latent availability not audited; not a drop-in thesis detector.; Local notes hash only; proceedings not verified.
sembind-v1,Zhang2026SemBindv1,SemBind: Binding Diffusion Watermarks to Semantics Against Black-Box Forgery Attacks,2026,10.48550/arXiv.2601.20310,https://arxiv.org/abs/2601.20310v1,verified,full-text,Targeted method reading only; no code/proof/performance reproduction.; Not evidence of the thesis method's effectiveness or novelty.
slice-v1,Gao2026SLICEv1,SLICE: Semantic Latent Injection via Compartmentalized Embedding for Image Watermarking,2026,10.48550/arXiv.2603.12749,https://arxiv.org/abs/2603.12749v1,verified,full-text,Targeted method reading only; no code/proof/performance reproduction.; Not evidence of the thesis method's effectiveness or novelty.
paunwala2012,Paunwala2012DCT,DCT Watermarking Approach for Security Enhancement of Multimodal System,2012,10.5402/2012/781940,https://onlinelibrary.wiley.com/doi/full/10.5402/2012/781940,verified,full-text,Targeted method reading only; no code/proof/performance reproduction.; Not evidence of the thesis method's effectiveness or novelty.
