"proposal_claim_id","kind","thesis_status","evidence_ids","relationship","boundary","next_requirement"
"TITLE-FA","TITLE","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Preserve title; resolve dynamic-ownership narrative through scope policy before final acceptance."
"TITLE-EN","TITLE","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Preserve title; resolve dynamic-ownership narrative through scope policy before final acceptance."
"SCOPE-01","PROBLEM","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Define relevant threat assumptions and collect scoped primary evidence."
"SCOPE-02","SCOPE","REQUIREMENT_NOT_RESULT","B1-INVISMARK-DATA","QUALIFIED_CONTEXT","Real-image evaluation exists in one inspected source; broad generalization gap still needs operational definition.","Operationalize scope without adding transfer infrastructure."
"SCOPE-03","SCOPE","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Operationalize scope without adding transfer infrastructure."
"PROB-01","PROBLEM","UNRESOLVED","B1-INVISMARK-FORGERY;B1-PROXY-FORGERY;B1-FORGERY-DEFENSE","THREAT_CONTEXT","Different attacker access regimes; no demonstrated protection by thesis method. Conditional defense elsewhere prevents a universal-attack inference; it does not prove this thesis secure.","Define relevant threat assumptions and collect scoped primary evidence."
"PROB-02","PROBLEM","UNRESOLVED","B1-REGEN-METHOD;B1-REGEN-BOUND","THREAT_CONTEXT","Conditional regeneration evidence motivates the problem; no universal removal claim.","Define relevant threat assumptions and collect scoped primary evidence."
"PROB-03","PROBLEM","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Define relevant threat assumptions and collect scoped primary evidence."
"GOAL-01","OBJECTIVE","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Specify implementation and preregister measurable acceptance criteria."
"OBJ-01","OBJECTIVE","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Specify implementation and preregister measurable acceptance criteria."
"OBJ-02","OBJECTIVE","UNRESOLVED","B1-SEAL-METHOD","RELATED_METHOD","Initial-noise precedent does not validate proposed image-conditioned route.","Specify implementation and preregister measurable acceptance criteria."
"OBJ-03","OBJECTIVE","UNRESOLVED","B1-DCT-BRIDGE;B1-INVISMARK-DECODER","COMPARATOR_CONTEXT","Missing latent-to-image-DCT link; comparator existence is not speed or accuracy evidence.","Specify implementation and preregister measurable acceptance criteria."
"OBJ-04","OBJECTIVE","UNRESOLVED","B1-INVISMARK-FORGERY;B1-SEAL-METHOD","THREAT_CONTEXT","Requires own content-binding controls under declared access.","Specify implementation and preregister measurable acceptance criteria."
"RQ-01","RESEARCH_QUESTION","UNRESOLVED","B1-SEMBIND;B1-SLICE","RELATED_METHOD","Related inspected mechanisms differ in embedding, detector and binding. No proof of thesis feasibility, instance separation or novelty.","Preregister a falsifiable comparison with controls and evaluation units."
"RQ-02","RESEARCH_QUESTION","UNRESOLVED","B1-SEAL-METHOD;B1-INVISMARK-DECODER;B1-REGEN-METHOD;B1-REGEN-DEFENSE","COMPARATOR_CONTEXT","Matched-quality latent-versus-pixel comparison remains unperformed; decoder evidence alone does not identify encoder domain.","Preregister a falsifiable comparison with controls and evaluation units."
"RQ-03","RESEARCH_QUESTION","UNRESOLVED","B1-INVISMARK-DECODER;B1-DCT-BRIDGE","COMPARATOR_CONTEXT","Neural baseline candidate available; no measured DCT superiority.","Preregister a falsifiable comparison with controls and evaluation units."
"RQ-04","RESEARCH_QUESTION","UNRESOLVED","B1-INVISMARK-FORGERY;B1-PROXY-FORGERY;B1-FORGERY-DEFENSE","THREAT_CONTEXT","Do not pool stronger encoder/residual access with donor-only T4. Conditional defense elsewhere prevents a universal-attack inference; it does not prove this thesis secure.","Preregister a falsifiable comparison with controls and evaluation units."
"HYP-01","HYPOTHESIS","UNTESTED","B1-SEMBIND;B1-SLICE","RELATED_METHOD","Related inspected mechanisms differ in embedding, detector and binding. No proof of thesis feasibility, instance separation or novelty.","Require authorized experiment and uncertainty analysis; retain negative outcomes."
"HYP-02","HYPOTHESIS","UNTESTED","B1-SEAL-METHOD;B1-INVISMARK-DECODER;B1-REGEN-BOUND;B1-REGEN-DEFENSE","COMPARATOR_CONTEXT","Conditional theorem and defense results do not prove the proposed latent advantage.","Require authorized experiment and uncertainty analysis; retain negative outcomes."
"HYP-03","HYPOTHESIS","UNTESTED","B1-DCT-BRIDGE;B1-INVISMARK-DECODER","COMPARATOR_CONTEXT","Both neural and inversion comparisons remain required; no non-inferiority or runtime result.","Require authorized experiment and uncertainty analysis; retain negative outcomes."
"HYP-04","HYPOTHESIS","UNTESTED","B1-SEAL-METHOD;B1-INVISMARK-FORGERY;B1-FORGERY-DEFENSE","RELATED_METHOD","Content-aware precedent is not proof of this dual-key defense. Conditional defense elsewhere prevents a universal-attack inference; it does not prove this thesis secure.","Require authorized experiment and uncertainty analysis; retain negative outcomes."
"METHOD-01","METHOD","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-02","METHOD","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-03","METHOD","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-04","METHOD","UNRESOLVED","B1-SEMBIND;B1-SLICE","RELATED_METHOD","Related inspected mechanisms differ in embedding, detector and binding. No proof of thesis feasibility, instance separation or novelty.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-05","METHOD","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-06","METHOD","UNRESOLVED","B1-SEAL-METHOD","RELATED_METHOD","Different generation/key/detection pipeline; no direct implementation equivalence.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-07","METHOD","UNRESOLVED","B1-SEAL-METHOD","RELATED_METHOD","Approximate semantic recomputation differs from stable exact hashes of features.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-08","METHOD","UNRESOLVED","B1-DCT-BRIDGE;B1-IMAGE-DCT","RELATED_METHOD","Related inspected mechanisms differ in embedding, detector and binding. No proof of thesis feasibility, instance separation or novelty.","Resolve A3 interface/scientific TBDs and test under approved design."
"METHOD-09","METHOD","UNRESOLVED","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Resolve A3 interface/scientific TBDs and test under approved design."
"DATA-01","DATASET","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Verify original dataset source/license/release and fixed split before execution."
"DATA-02","DATASET","REQUIREMENT_NOT_RESULT","B1-INVISMARK-DATA","DATASET_CONTEXT","Use elsewhere does not verify local release/license/split or approve sample changes.","Verify original dataset source/license/release and fixed split before execution."
"DATA-03","DATASET","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Verify original dataset source/license/release and fixed split before execution."
"METRIC-01","METRIC","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-02","METRIC","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-03","METRIC","REQUIREMENT_NOT_RESULT","","NO_ADMITTED_MAPPING","No mapping in the current inspected package; not a claim that supporting literature does not exist.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-04","METRIC","REQUIREMENT_NOT_RESULT","B1-OPERATING-POINTS","EVALUATION_CAUTION","Detection rates require declared comparable operating points and denominators.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-05","METRIC","REQUIREMENT_NOT_RESULT","B1-REGEN-METHOD;B1-REGEN-BOUND","EVALUATION_CAUTION","Map regeneration parameters and quality constraints explicitly; no reproduced thesis performance.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-06","METRIC","REQUIREMENT_NOT_RESULT","B1-OPERATING-POINTS;B1-INVISMARK-FORGERY","EVALUATION_CAUTION","ACC/AUC need specified labels/access and common evaluation conditions.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"METRIC-07","METRIC","REQUIREMENT_NOT_RESULT","B1-SEAL-METHOD","COMPARATOR_CONTEXT","Inversion role only; no measured latency or allowed asymmetric timing.","Pin implementation/reference/threshold/aggregation and analysis protocol."
"CLAIM-01","PLANNED_CLAIM","UNTESTED","B1-DCT-BRIDGE","GAP_CONTEXT","No measured speedup or accuracy tradeoff.","Withhold achieved-result or novelty language pending evidence."
"NOVELTY-01","PLANNED_CLAIM","UNTESTED","B1-DCT-BRIDGE;B1-SEAL-METHOD;B1-SEMBIND;B1-SLICE;B1-IMAGE-DCT","RELATED_METHOD","Related inspected mechanisms differ in embedding, detector and binding. No proof of thesis feasibility, instance separation or novelty.","Withhold achieved-result or novelty language pending evidence."
